Gender,Race,HomeTwn,Live,Greek?,Parents,GPA,SkipCl,TextSpd,SitArea,HrsStudy,FornTeach,HrsCompu,PayEduc,GetEduc,HrsWork,HubFood,Relimport,ReadBibl,RelPref,God?,Weight,Height,IdlWt,IdlHt,ViewWt,Handed,LongFing,EyeSight,SelfAttr,ShoeSize,LooksImp,MakeFrnds,DateRace,InstMsgr,PeopKiss,DatePerly,AgeDiff,FutSpous,HowComm,DateSpnd,LongRels,UseFaceBk,AgeMarry,CDsOwn,Parties,CellPhn,MinTalk,FavMusic,EntrPref,CDsBurnd,OwnIPod,MP3Playr,MovyGenr,Book_Movy,SpendTVA,HrsExer,SmokeCig,HrsSleep,Abortion,ExerPref,WtTry,FastDrvn,SameSex,IceTerm,CitedOff,DrvnInfl,BevPref,DaysAlco,SmokedMj,Ecstasy,LegalMj?,DrnksUsl,SpndAlco,DrvnDrnk,DrnkIntox,DrnkPref,Shroomed,LiteBeer,Cocaine?,MjBrowny,MostBeer,RolldMj?,Age1stDrk,BushJob,AttkIraq,PolAffln,JoepaQuit,TVSport,HSSports,Virgin,SexNoRel,SexB4Mar,CheatdSO,CheatTel,SexPartns,DatesB4Sex,AgeLostIt,Sex/Week,SameSex_1,UseProtn,HrsPorn,MinDatesB4,OKSameSex,Speed-Dating,SexUnsure,PreMarSex
male,Caucasian,Suburban,Apartment,No,Divorced,2.9,1,500,Middle,12,Yes,5,Parents,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,165,73,185,74,underweight,left,ring,near-sighted,Yes,6,12,no_preference,No,4,11-25,No,0-2 years younger,If it happens,Face to face,75,0,Yes,27,100,10,Yes,120,Rock,Music,80,No,Other,Comedy,Movie,1-3,6,No,6,Yes,With company,Gain,105,"No never",Italian,1,Yes,Milk,8,Yes,No,No,7_8,$30-$50,3,7,Liquor,No,Miller,No,No,14,Yes,14,Approve,Yes,Republican,No,Football,Yes,No,Yes,No,No,Yes,4,2,17,Once,No,Yes,0-2 hours,First ,Yes,no opinion,No,Yes
male,Caucasian,A small town,Apartment,No,Married,3.2,3,140,Back,10,No,8,Scholar/Parents ,Yes,>20,Reasonable,Not,Never,Catholic,Yes,155,69,175,70,underweight,right,ring,near-sighted,Don't know,6,12,opposite_gender,No,.,1-5,No,3-4 years younger,Very important,Phone,100,1,Yes,24,25,2,Yes,500,Pop,Movies,8,No,Don't own one,Action,Movie,4-6,5,No,5,Yes,With company,Gain,110,"No never",Italian,0,Yes,Alcohol,18,No,No,No,3_4,More than $50,.,4,Wine,No,Don't drink lite,No,No,8,No,18,Approve,Yes,Republican,No,Don't watch sports,No,No,Yes,No,No,Yes,2,5,18,2-3,No,No,0-2 hours,Fifth,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Frat ,Yes,Married,3.4,0,250,Middle,10,No,4,Parents,Yes,None,Too expensive,Fairly,Never,Jewish,Yes,127,56,120,58,about_right,right,index,near-sighted,Yes,3,19,no_preference,No,7,More than 25,Yes,2-4 years older,If it happens,Email/IM,30,4,Yes,25,50,31,Yes,300,Pop,Movies,2,iPod Mini,Other,Romance,Book,1-3,10,No,9,Yes,Alone,Lose,90,"No never",Water,0,Yes,Alcohol,16,Yes,No,Yes,7_8,$30-$50,1,5,Liquor,No,Coors,No,No,8,No,14,Disapprove,No,Democrat,No,Football,No,No,No,No,Yes,No,4,3,15,4-5,No,Yes,None,Fifth,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Frat ,Yes,Married,3.5,0,500,Middle,9,No,4,Parents,Yes,None,Too expensive,Fairly,Never,Jewish,Yes,135,67,120,66,about_right,right,same,near-sighted,Don't know,5,6,opposite_gender,No,2,More than 25,Yes,3-4 years younger,If it happens,Face to face,75,2,Yes,25,5,16,Yes,300,Rap/Hip Hop,Movies,6,iPod Mini,Have an iPod,Comedy,Movie,1-3,4,No,8,Yes,With company,Lose,105,"No never",Italian,0,Yes,Water,14,No,No,No,5_6,$11-$30,0,4,Liquor,No,Don't drink lite,No,No,3,No,14,Approve,Yes,Republican,Yes,Football,Yes,No,No,No,Yes,No,3,100,16,2-3,No,Yes,None,Tenth or later,Yes,no opinion,No,Yes
male,Caucasian,A big city,Dorm,No,Married,3.47,0,400,Back,15,No,3,Scholar/Parents ,Yes,None,Reasonable,Not,Once in a while,Protestant,Yes,145,70,140,73,about_right,right,ring,neither,Don't know,6,12,opposite_gender,Yes,10,11-25,No,2-4 years older,If it happens,Face to face,40,4,Yes,.,15,15,Yes,20,Other,Movies,5,Other,Have an iPod,Drama,Movie,4-6,10,Yes,7,Yes,With company,Lose,100,"No never",Water,0,No,Juice,15,Yes,Yes,No,7_8,$11-$30,1,5,Liquor,No,Miller,No,No,18,No,14,Disapprove,No,Other,No,Football,Yes,No,Yes,No,No,Yes,5,4,17,Once,No,Yes,None,Fifth,Yes,no opinion,No,Yes
male,Caucasian,A big city,Dorm,No,Married,3.47,0,400,Back,15,No,3,Scholar/Parents ,Yes,None,Reasonable,Not,Once in a while,Protestant,Yes,145,70,140,73,about_right,right,ring,neither,Don't know,6,12,opposite_gender,Yes,10,11-25,No,2-4 years older,If it happens,Face to face,40,4,Yes,.,15,15,Yes,20,Other,Movies,5,Other,Have an iPod,Drama,Movie,4-6,10,Yes,7,Yes,With company,Lose,100,"No never",Water,0,No,Juice,15,Yes,Yes,No,7_8,$11-$30,1,5,Liquor,No,Miller,No,No,18,No,14,Disapprove,No,Other,No,Football,Yes,No,Yes,No,No,Yes,5,4,17,Once,No,Yes,None,Fifth,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,3.41,0,300,Front,12,Yes,1.5,Me,Yes,1-10,Too expensive,Fairly,Never,Jewish,Yes,125,67,115,67,about_right,right,index,neither,Yes,5,16,no_preference,Yes,.,11-25,No,5-10 years older,If it happens,Face to face,50,2,Yes,24,50,15,Yes,200,Other,Movies,50,No,Other,Comedy,Movie,1-3,5,No,5,Yes,Alone,Lose,90,"No never",Italian,1,No,Water,10,Yes,No,No,3_4,$30-$50,0,7,Liquor,No,Don't drink lite,No,Yes,3,No,16,Disapprove,No,Democrat,No,Football,Yes,No,Yes,No,No,Yes,3,150,17,Not active,Yes,Yes,None,Tenth or later,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,3.89,0,350,Back,15,Yes,3,Scholar/Parents ,Yes,None,Too expensive,Fairly,Never,Jewish,Yes,110,60,110,64,about_right,right,ring,near-sighted,Yes,3,10,same_gender,No,3,1-5,No,0-2 years older,If it happens,Face to face,30,1,Yes,24,15,8,Yes,300,Other,Books,40,iPod Mini,Have an iPod,Comedy,Book,1-3,7,No,5,Yes,With company,Stay the same,75,"No never",Italian,0,No,Soda,8,No,No,No,3_4,$11-$30,0,3,Liquor,No,Miller,No,No,4,No,18,Approve,Yes,Democrat,No,Football,Yes,No,No,No,No,Yes,1,9,18,2-3,No,Yes,None,Tenth or later,Yes,no opinion,No,Yes
female,AfrAm/Bl,Suburban,Apartment,No,Divorced,3.25,1,500,Middle,10,Yes,6,Parents,Yes,None,Too expensive,Fairly,Once in a while,Protestant,Yes,130,62,115,65,about_right,right,index,near-sighted,Yes,4,12,no_preference,Yes,8,More than 25,No,2-4 years older,If it happens,Phone,40,4,Yes,25,15,5,Yes,350,Rap/Hip Hop,Movies,10,No,Other,Comedy,Movie,4-6,10,No,8,Yes,With company,Stay the same,90,Once or twice,Italian,1,Yes,Juice,5,No,No,No,3_4,0-$10,0,3,Liquor,No,Miller,No,No,5,No,15,Disapprove,No,Democrat,No,Football,Yes,No,No,No,No,Yes,8,5,16,4-5,Yes,Yes,None,Second,Yes,no opinion,No,Yes
male,Caucasian,Suburban,Apartment,No,Married,3.37,0,150,Front,20,No,6,Parents,Yes,None,Too expensive,Not,Never,Atheist,No,150,69,160,69,about_right,right,ring,far-sighted,Yes,8,10,opposite_gender,Yes,.,11-25,Yes,More than 10 years older,Very important,Face to face,20,4,No,27,50,0,Yes,30,Rock,Video Games,20,No,Don't own one,Horror,Movie,1-3,0,No,5,Yes,With company,Nothing,.,Once or twice,Water,0,No,Water,0,No,No,Yes,0,0-$10,0,3,Liquor,No,Don't drink lite,No,No,0,No,18,Disapprove,No,Democrat,Yes,Baseball,No,No,No,No,No,n/r,2,5,18,2-3,No,Yes,0-2 hours,Tenth or later,Yes,no opinion,Yes,Yes
